employeeid,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome(USD),NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimes,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,yearofjoining,TechnologyAdoption,Benefits,Facilities,ChallengingLevels,ExtracurricularActivities,YearOfLeaving
101591,30,Yes,Non-Travel,Research & Development,2,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,0,Y,No,14,3,2,0,12,2,2,11,7,6,7,2003,4,3,2,1,4,2014
101592,35,No,Travel_Rarely,Sales,1,Marketing,2,Male,3,2,Sales Executive,3,Single,4717,9,Y,N,11,3,3,0,15,2,3,11,9,6,9,2006,5,2,3,0,3,
101593,36,No,Non-Travel,Research & Development,18,Life Sciences,1,Male,3,2,Manufacturing Director,4,Single,7779,2,Y,No,20,4,4,0,18,0,3,11,9,0,9,2006,4,2,3,0,4,
101594,40,Yes,Travel_Rarely,Research & Development,20,Technical Degree,2,Male,3,3,Healthcare Representative,4,Divorced,10322,4,Y,No,20,4,4,1,14,6,3,11,10,11,1,2000,3,4,2,1,3,2011
101595,29,Yes,Travel_Rarely,Sales,23,Life Sciences,4,Female,3,3,Sales Executive,1,Married,7336,1,Y,Y,13,3,3,1,11,3,1,11,8,3,10,1999,2,3,4,1,2,2010
101596,30,No,Travel_Rarely,Research & Development,1,Medical,4,Male,3,1,Research Scientist,2,Married,3579,0,Y,Yes,21,4,1,1,12,2,3,11,9,5,7,2006,2,5,4,1,2,
101597,60,No,Travel_Rarely,Sales,7,Marketing,2,Male,4,2,Sales Executive,4,Single,5220,0,Y,Yes,18,3,2,1,12,3,3,11,7,1,9,2006,3,4,5,0,5,
101598,34,Yes,Travel_Frequently,Research & Development,19,Medical,3,Female,3,2,Laboratory Technician,2,Divorced,4444,4,Y,No,13,3,2,2,15,2,4,11,8,5,10,2003,4,3,2,1,4,2014
101599,36,No,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,Single,3692,1,Y,N,12,3,3,0,12,2,2,11,10,0,7,2006,5,2,3,0,3,
101600,46,No,Travel_Rarely,Sales,4,Marketing,4,Male,2,5,Sales Executive,2,Married,18789,2,Y,No,14,3,4,1,26,2,3,11,4,0,8,2006,4,2,3,0,4,
101601,36,Yes,Travel_Rarely,Research & Development,2,Medical,2,Male,3,1,Laboratory Technician,3,Divorced,2519,4,Y,No,21,4,3,0,16,6,3,11,8,3,9,2000,3,4,2,1,3,2011
101602,35,No,Travel_Rarely,Sales,16,Marketing,3,Male,3,3,Sales Executive,2,Married,8020,0,Y,Y,15,3,3,2,12,3,2,11,9,6,9,2006,2,3,4,1,2,
101603,34,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,2,2,Manufacturing Director,1,Married,5957,6,Y,No,13,3,2,1,13,3,3,11,9,5,9,2006,2,5,4,1,2,
101604,29,No,Travel_Frequently,Sales,1,Medical,2,Male,3,3,Sales Executive,4,Single,7918,1,Y,No,14,3,4,1,11,5,3,11,10,4,1,2006,3,4,5,0,5,
101605,30,Yes,Non-Travel,Research & Development,1,Life Sciences,3,Female,2,3,Manufacturing Director,3,Single,8474,1,Y,No,22,4,2,0,12,2,3,11,8,5,8,2003,4,3,2,1,4,2014
101606,31,No,Travel_Rarely,Research & Development,7,Medical,3,Female,3,3,Manufacturing Director,4,Single,7143,1,Y,N,14,3,3,0,11,2,2,11,9,4,10,2006,5,2,3,0,3,
101607,38,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,2,3,Research Director,4,Divorced,11510,0,Y,Yes,14,3,4,1,12,3,3,11,10,2,9,2006,4,2,3,0,4,
101608,35,Yes,Travel_Rarely,Sales,1,Marketing,2,Male,3,2,Sales Executive,3,Divorced,4717,9,Y,No,11,3,3,0,15,2,3,11,9,6,9,2000,3,4,2,1,3,2011
101609,30,No,Non-Travel,Research & Development,2,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,0,Y,Y,14,3,3,0,12,2,2,11,7,6,7,2006,2,3,4,1,2,
101610,33,No,Non-Travel,Sales,2,Marketing,4,Female,3,2,Sales Executive,2,Single,5147,8,Y,No,15,3,4,0,13,2,2,11,7,1,7,2006,2,5,4,1,2,
101611,38,No,Non-Travel,Human Resources,2,Human Resources,1,Male,3,1,Human Resources,2,Single,2592,5,Y,No,13,3,4,3,13,3,3,11,10,3,8,2006,3,4,5,0,5,
101612,29,Yes,Travel_Frequently,Research & Development,20,Medical,4,Female,3,1,Laboratory Technician,4,Married,3812,1,Y,No,13,3,2,0,11,3,4,11,8,3,10,2003,4,3,2,1,4,2014
101613,35,Yes,Travel_Frequently,Sales,12,Other,4,Male,3,2,Sales Executive,4,Single,4581,3,Y,N,24,4,1,0,13,2,4,11,9,6,7,2002,5,2,3,0,3,2013
101614,34,No,Travel_Rarely,Sales,7,Technical Degree,2,Male,3,1,Sales Representative,3,Married,2308,0,Y,Yes,25,4,4,1,12,4,3,11,10,5,7,2006,4,2,3,0,4,
101615,35,Yes,Travel_Rarely,Research & Development,16,Life Sciences,2,Female,2,3,Healthcare Representative,2,Divorced,8606,1,Y,No,19,3,4,0,11,3,1,11,8,3,3,2000,3,4,2,1,3,2011
101616,34,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Female,3,2,Research Scientist,2,Divorced,5433,1,Y,Y,12,3,3,1,11,2,3,11,8,7,9,2006,2,3,4,1,2,
101617,36,No,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3692,1,Y,No,12,3,3,0,12,2,2,11,10,0,7,2006,2,5,4,1,2,
101618,34,No,Travel_Frequently,Research & Development,19,Medical,3,Male,3,2,Laboratory Technician,2,Single,4444,4,Y,No,13,3,3,2,15,2,4,11,8,5,10,2006,3,4,5,0,5,
101619,46,Yes,Travel_Rarely,Sales,4,Marketing,4,Female,2,5,Sales Representative,2,Married,18789,2,Y,No,14,3,2,1,26,2,3,11,4,0,8,2003,4,3,2,1,4,2014
101620,40,No,Travel_Rarely,Research & Development,20,Technical Degree,1,Male,3,3,Healthcare Representative,4,Single,10322,4,Y,N,20,4,4,1,14,6,3,11,10,11,1,2006,5,2,3,0,3,
101621,29,No,Travel_Rarely,Sales,23,Life Sciences,4,Male,2,3,Sales Executive,1,Married,7336,1,Y,No,13,3,4,1,11,3,1,11,8,3,10,2006,4,2,3,0,4,
101622,36,Yes,Non-Travel,Research & Development,18,Life Sciences,2,Male,3,2,Manufacturing Director,4,Divorced,7779,2,Y,No,20,4,1,0,18,0,3,11,9,0,9,2000,3,4,2,1,3,2011
101623,30,No,Travel_Rarely,Research & Development,1,Medical,4,Male,3,1,Research Scientist,2,Married,3579,0,Y,Y,21,4,3,1,12,2,3,11,9,5,7,2006,2,3,4,1,2,
101624,60,No,Travel_Rarely,Sales,7,Marketing,2,Male,4,2,Sales Executive,4,Divorced,5220,0,Y,Yes,18,3,2,1,12,3,3,11,7,1,9,2006,2,5,4,1,2,
101625,30,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Single,4152,1,Y,No,19,3,1,3,11,3,3,11,10,10,8,2006,3,4,5,0,5,
101626,31,Yes,Travel_Rarely,Research & Development,8,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,Y,No,23,4,2,0,11,2,3,11,7,1,8,2003,4,3,2,1,4,2014
101627,30,No,Travel_Rarely,Human Resources,9,Human Resources,3,Male,3,2,Human Resources,4,Single,6347,0,Y,N,19,3,4,0,12,2,1,11,9,4,7,2006,5,2,3,0,3,
101628,34,No,Travel_Rarely,Research & Development,5,Medical,3,Male,2,3,Research Scientist,1,Single,11631,2,Y,No,12,3,4,0,14,6,3,11,10,5,8,2006,4,2,3,0,4,
101629,31,Yes,Travel_Rarely,Research & Development,8,Life Sciences,2,Female,3,2,Manufacturing Director,4,Divorced,4424,1,Y,No,23,4,4,0,11,2,3,11,7,1,8,2000,3,4,2,1,3,2011
101630,30,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,3,2,Healthcare Representative,4,Married,4152,1,Y,Y,19,3,3,3,11,3,3,11,10,10,8,2006,2,3,4,1,2,
101631,30,No,Travel_Rarely,Sales,4,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Y,Yes,12,3,2,3,11,4,2,11,8,2,7,2006,2,5,4,1,2,
101632,32,No,Travel_Rarely,Sales,6,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,Y,No,16,3,1,0,12,0,3,11,8,5,7,2006,3,4,5,0,5,
101633,35,Yes,Travel_Rarely,Sales,16,Marketing,3,Female,3,3,Sales Executive,2,Married,8020,0,Y,No,15,3,2,2,12,3,2,11,9,6,9,2003,4,3,2,1,4,2014
101634,38,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,3,3,Research Director,4,Single,11510,0,Y,N,14,3,2,1,12,3,3,11,10,2,9,2006,5,2,3,0,3,
101635,31,No,Travel_Rarely,Research & Development,7,Medical,3,Male,3,3,Manufacturing Director,4,Single,7143,1,Y,Yes,14,3,4,0,11,2,2,11,9,4,10,2006,4,2,3,0,4,
101636,30,Yes,Non-Travel,Research & Development,1,Life Sciences,2,Male,2,3,Manufacturing Director,3,Divorced,8474,1,Y,No,22,4,3,0,12,2,3,11,8,5,8,2000,3,4,2,1,3,2011
101637,29,No,Travel_Frequently,Sales,1,Medical,2,Female,3,3,Sales Executive,4,Married,7918,1,Y,Y,14,3,3,1,11,5,3,11,10,4,1,2006,2,3,4,1,2,
101638,34,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,2,2,Manufacturing Director,1,Married,5957,6,Y,No,13,3,2,1,13,3,3,11,9,5,9,2006,2,5,4,1,2,
101639,30,No,Non-Travel,Research & Development,2,Medical,3,Male,3,1,Laboratory Technician,4,Single,2564,0,Y,No,14,3,3,0,12,2,2,11,7,6,7,2006,3,4,5,0,5,
101640,35,Yes,Travel_Rarely,Sales,1,Marketing,2,Female,3,2,Sales Executive,3,Married,4717,9,Y,No,11,3,2,0,15,2,3,11,9,6,9,2003,4,3,2,1,4,2014
101641,29,No,Travel_Frequently,Sales,1,Medical,2,Female,3,3,Sales Executive,4,Single,7918,1,Y,N,14,3,4,1,11,5,3,11,10,4,1,2006,5,2,3,0,3,
101642,30,No,Non-Travel,Research & Development,1,Life Sciences,3,Male,2,3,Manufacturing Director,3,Single,8474,1,Y,No,22,4,4,0,12,2,3,11,8,5,8,2006,4,2,3,0,4,
101643,30,Yes,Travel_Rarely,Human Resources,9,Human Resources,2,Male,3,2,Human Resources,4,Divorced,6347,0,Y,Yes,19,3,4,0,12,2,1,11,9,4,7,2000,3,4,2,1,3,2011
101644,34,No,Travel_Rarely,Research & Development,5,Medical,3,Female,3,3,Manufacturing Director,1,Single,11631,2,Y,Y,12,3,3,0,14,6,3,11,10,5,8,2006,2,3,4,1,2,
101645,30,No,Travel_Rarely,Sales,4,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Y,Yes,12,3,2,3,11,4,2,11,8,2,7,2006,2,5,4,1,2,
101646,32,No,Travel_Rarely,Sales,6,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,Y,No,16,3,1,0,12,0,3,11,8,5,7,2006,3,4,5,0,5,
101647,31,Yes,Travel_Rarely,Research & Development,7,Medical,3,Female,3,3,Manufacturing Director,4,Single,7143,1,Y,Yes,14,3,2,0,11,2,2,11,9,4,10,2003,4,3,2,1,4,2014
101648,38,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,3,3,Research Director,4,Single,11510,0,Y,N,14,3,2,1,12,3,3,11,10,2,9,2006,5,2,3,0,3,
101649,35,No,Travel_Rarely,Sales,16,Marketing,3,Male,3,3,Sales Executive,2,Married,8020,0,Y,No,15,3,4,2,12,3,2,11,9,6,9,2006,4,2,3,0,4,
101650,34,Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,2,2,Manufacturing Director,1,Divorced,5957,6,Y,No,13,3,2,1,13,3,3,11,9,5,9,2000,3,4,2,1,3,2011
101651,30,No,Non-Travel,Research & Development,2,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,0,Y,Y,14,3,3,0,12,2,2,11,7,6,7,2006,2,3,4,1,2,
101652,35,No,Travel_Rarely,Sales,1,Marketing,2,Male,3,2,Sales Executive,3,Married,4717,9,Y,No,11,3,3,0,15,2,3,11,9,6,9,2006,2,5,4,1,2,
101653,46,No,Travel_Rarely,Sales,4,Marketing,4,Male,2,5,Sales Executive,2,Single,18789,2,Y,No,14,3,3,1,26,2,3,11,4,0,8,2006,3,4,5,0,5,
101654,34,Yes,Travel_Frequently,Research & Development,19,Medical,3,Female,3,2,Laboratory Technician,2,Divorced,4444,4,Y,No,13,3,2,2,15,2,4,11,8,5,10,2003,4,3,2,1,4,2014
101655,40,No,Travel_Rarely,Research & Development,20,Technical Degree,1,Male,3,3,Healthcare Representative,4,Single,10322,4,Y,N,20,4,4,1,14,6,3,11,10,11,1,2006,5,2,3,0,3,
101656,29,No,Travel_Rarely,Sales,23,Life Sciences,4,Male,2,3,Sales Executive,1,Married,7336,1,Y,No,13,3,4,1,11,3,1,11,8,3,10,2006,4,2,3,0,4,
101657,36,Yes,Non-Travel,Research & Development,18,Life Sciences,2,Male,3,2,Manufacturing Director,4,Divorced,7779,2,Y,No,20,4,1,0,18,0,3,11,9,0,9,2000,3,4,2,1,3,2011
101658,30,No,Travel_Rarely,Research & Development,1,Medical,4,Male,3,1,Research Scientist,2,Married,3579,0,Y,Y,21,4,3,1,12,2,3,11,9,5,7,2006,2,3,4,1,2,
101659,60,No,Travel_Rarely,Sales,7,Marketing,2,Male,4,2,Sales Executive,4,Divorced,5220,0,Y,Yes,18,3,2,1,12,3,3,11,7,1,9,2006,2,5,4,1,2,
101660,36,No,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,Single,3692,1,Y,No,12,3,3,0,12,2,2,11,10,0,7,2006,3,4,5,0,5,
101661,36,Yes,Travel_Rarely,Research & Development,2,Medical,3,Female,3,1,Laboratory Technician,3,Single,2519,4,Y,No,21,4,2,0,16,6,3,11,8,3,9,2003,4,3,2,1,4,2014
101662,38,No,Non-Travel,Human Resources,2,Human Resources,1,Male,3,1,Human Resources,2,Single,2592,5,Y,N,13,3,4,3,13,3,3,11,10,3,8,2006,5,2,3,0,3,
101663,29,No,Travel_Frequently,Research & Development,20,Medical,4,Male,3,1,Laboratory Technician,4,Married,3812,1,Y,No,13,3,4,0,11,3,4,11,8,3,10,2006,4,2,3,0,4,
101664,33,Yes,Non-Travel,Sales,2,Marketing,2,Female,3,2,Sales Executive,2,Divorced,5147,8,Y,No,15,3,4,0,13,2,2,11,7,1,7,2000,3,4,2,1,3,2011
101665,35,No,Travel_Rarely,Research & Development,16,Life Sciences,4,Female,3,3,Healthcare Representative,2,Single,8606,1,Y,Y,19,3,3,0,11,3,1,11,8,3,3,2006,2,3,4,1,2,
101666,34,No,Travel_Rarely,Sales,7,Technical Degree,2,Male,3,1,Sales Representative,3,Married,2308,0,Y,Yes,25,4,2,1,12,4,3,11,10,5,7,2006,2,5,4,1,2,
101667,35,No,Travel_Frequently,Sales,12,Other,4,Male,3,2,Sales Executive,4,Single,4581,3,Y,Yes,24,4,1,0,13,2,4,11,9,6,7,2006,3,4,5,0,5,
101668,34,Yes,Travel_Rarely,Research & Development,3,Life Sciences,4,Female,3,2,Research Scientist,2,Divorced,5433,1,Y,No,12,3,2,1,11,2,3,11,8,7,9,2003,4,3,2,1,4,2014
101669,31,No,Non-Travel,Research & Development,10,Medical,3,Female,3,3,Research Director,3,Single,11031,4,Y,N,20,4,3,1,13,2,4,11,7,4,8,2006,5,2,3,0,3,
101670,40,No,Travel_Rarely,Sales,2,Marketing,2,Male,3,2,Sales Executive,2,Married,5677,3,Y,No,14,3,4,1,15,4,3,11,8,5,10,2006,4,2,3,0,4,
101671,40,Yes,Travel_Rarely,Sales,2,Marketing,2,Female,3,2,Sales Executive,2,Divorced,5677,3,Y,No,14,3,3,1,15,4,3,11,8,5,10,2000,3,4,2,1,3,2011
101672,31,No,Non-Travel,Research & Development,10,Medical,3,Female,3,3,Research Director,3,Married,11031,4,Y,Y,20,4,3,1,13,2,4,11,7,4,8,2006,2,3,4,1,2,
101673,30,No,Non-Travel,Research & Development,1,Life Sciences,3,Male,2,3,Manufacturing Director,3,Single,8474,1,Y,No,22,4,3,0,12,2,3,11,8,5,8,2006,2,5,4,1,2,
101674,29,No,Travel_Frequently,Sales,1,Medical,2,Male,3,3,Sales Executive,4,Single,7918,1,Y,No,14,3,4,1,11,5,3,11,10,4,1,2006,3,4,5,0,5,
101675,34,Yes,Travel_Rarely,Research & Development,2,Life Sciences,4,Female,2,2,Manufacturing Director,1,Married,5957,6,Y,No,13,3,2,1,13,3,3,11,9,5,9,2003,4,3,2,1,4,2014
101676,30,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,3,2,Healthcare Representative,4,Single,4152,1,Y,N,19,3,1,3,11,3,3,11,10,10,8,2006,5,2,3,0,3,
101677,31,No,Travel_Rarely,Research & Development,8,Life Sciences,3,Male,3,2,Manufacturing Director,4,Single,4424,1,Y,No,23,4,4,0,11,2,3,11,7,1,8,2006,4,2,3,0,4,
101678,30,Yes,Travel_Rarely,Sales,4,Medical,2,Female,2,2,Sales Executive,2,Divorced,5209,1,Y,Yes,12,3,2,3,11,4,2,11,8,2,7,2000,3,4,2,1,3,2011
101679,32,No,Travel_Rarely,Sales,6,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,Y,Y,16,3,3,0,12,0,3,11,8,5,7,2006,2,3,4,1,2,
101680,34,No,Travel_Rarely,Research & Development,5,Medical,3,Female,2,3,Healthcare Representative,1,Single,11631,2,Y,No,12,3,4,0,14,6,3,11,10,5,8,2006,2,5,4,1,2,
101681,30,No,Travel_Rarely,Human Resources,9,Human Resources,3,Male,3,2,Human Resources,4,Single,6347,0,Y,Yes,19,3,4,0,12,2,1,11,9,4,7,2006,3,4,5,0,5,
101682,30,Yes,Non-Travel,Research & Development,2,Medical,3,Female,3,1,Laboratory Technician,4,Single,2564,0,Y,No,14,3,2,0,12,2,2,11,7,6,7,2003,4,3,2,1,4,2014
101683,35,No,Travel_Rarely,Sales,16,Marketing,3,Male,3,3,Sales Executive,2,Single,8020,0,Y,N,15,3,3,2,12,3,2,11,9,6,9,2006,5,2,3,0,3,
101684,38,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,2,3,Research Director,4,Divorced,11510,0,Y,Yes,14,3,4,1,12,3,3,11,10,2,9,2006,4,2,3,0,4,
101685,31,Yes,Travel_Rarely,Research & Development,7,Medical,2,Female,3,3,Manufacturing Director,4,Divorced,7143,1,Y,Yes,14,3,3,0,11,2,2,11,9,4,10,2000,3,4,2,1,3,2011
101686,35,No,Travel_Rarely,Sales,1,Marketing,2,Male,3,2,Sales Executive,3,Married,4717,9,Y,Y,11,3,3,0,15,2,3,11,9,6,9,2006,2,3,4,1,2,
101687,34,No,Travel_Frequently,Research & Development,19,Medical,3,Female,3,2,Laboratory Technician,2,Divorced,4444,4,Y,No,13,3,3,2,15,2,4,11,8,5,10,2006,2,5,4,1,2,
101688,30,No,Travel_Rarely,Research & Development,1,Medical,4,Male,3,1,Research Scientist,2,Single,3579,0,Y,Yes,21,4,1,1,12,2,3,11,9,5,7,2006,3,4,5,0,5,
101689,60,Yes,Travel_Rarely,Sales,7,Marketing,2,Female,4,2,Sales Executive,4,Divorced,5220,0,Y,Yes,18,3,2,1,12,3,3,11,7,1,9,2003,4,3,2,1,4,2014
101690,46,No,Travel_Rarely,Sales,4,Marketing,4,Female,3,5,Sales Representative,2,Single,18789,2,Y,N,14,3,3,1,26,2,3,11,4,0,8,2006,5,2,3,0,3,
101691,36,No,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3692,1,Y,No,12,3,4,0,12,2,2,11,10,0,7,2006,4,2,3,0,4,
101692,35,Yes,Travel_Rarely,Research & Development,16,Life Sciences,2,Female,2,3,Healthcare Representative,2,Divorced,8606,1,Y,No,19,3,4,0,11,3,1,11,8,3,3,2000,3,4,2,1,3,2011
101693,34,No,Travel_Rarely,Sales,7,Technical Degree,2,Male,3,1,Sales Representative,3,Married,2308,0,Y,Y,25,4,3,1,12,4,3,11,10,5,7,2006,2,3,4,1,2,
101694,36,No,Travel_Rarely,Research & Development,2,Medical,3,Male,3,1,Laboratory Technician,3,Single,2519,4,Y,No,21,4,3,0,16,6,3,11,8,3,9,2006,2,5,4,1,2,
101695,40,No,Travel_Rarely,Research & Development,20,Technical Degree,1,Male,3,3,Healthcare Representative,4,Single,10322,4,Y,No,20,4,4,1,14,6,3,11,10,11,1,2006,3,4,5,0,5,
101696,36,Yes,Non-Travel,Research & Development,18,Life Sciences,1,Female,3,2,Manufacturing Director,4,Single,7779,2,Y,No,20,4,2,0,18,0,3,11,9,0,9,2003,4,3,2,1,4,2014
101697,29,Yes,Travel_Rarely,Sales,23,Life Sciences,4,Female,3,3,Sales Executive,1,Single,7336,1,Y,N,13,3,1,1,11,3,1,11,8,3,10,2002,5,2,3,0,3,2013
101698,34,No,Travel_Rarely,Sales,7,Technical Degree,2,Male,3,1,Sales Representative,3,Married,2308,0,Y,Yes,25,4,4,1,12,4,3,11,10,5,7,2006,4,2,3,0,4,
101699,35,Yes,Travel_Rarely,Research & Development,16,Life Sciences,2,Female,2,3,Healthcare Representative,2,Divorced,8606,1,Y,No,19,3,4,0,11,3,1,11,8,3,3,2000,3,4,2,1,3,2011
101700,35,Yes,Travel_Frequently,Sales,12,Other,4,Male,3,2,Sales Executive,4,Single,4581,3,Y,Y,24,4,3,0,13,2,4,11,9,6,7,1999,2,3,4,1,2,2010
101701,34,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Female,3,2,Research Scientist,2,Divorced,5433,1,Y,No,12,3,3,1,11,2,3,11,8,7,9,2006,2,5,4,1,2,
101702,36,No,Non-Travel,Research & Development,18,Life Sciences,1,Male,3,2,Manufacturing Director,4,Single,7779,2,Y,No,20,4,1,0,18,0,3,11,9,0,9,2006,3,4,5,0,5,
101703,29,Yes,Travel_Rarely,Sales,23,Life Sciences,4,Female,2,3,Sales Executive,1,Married,7336,1,Y,No,13,3,2,1,11,3,1,11,8,3,10,2003,4,3,2,1,4,2014
101704,30,No,Travel_Rarely,Research & Development,1,Medical,4,Male,3,1,Research Scientist,2,Single,3579,0,Y,N,21,4,1,1,12,2,3,11,9,5,7,2006,5,2,3,0,3,
101705,60,No,Travel_Rarely,Sales,7,Marketing,2,Male,4,2,Sales Executive,4,Divorced,5220,0,Y,Yes,18,3,4,1,12,3,3,11,7,1,9,2006,4,2,3,0,4,
101706,46,Yes,Travel_Rarely,Sales,4,Marketing,2,Female,2,5,Sales Representative,2,Divorced,18789,2,Y,No,14,3,3,1,26,2,3,11,4,0,8,2000,3,4,2,1,3,2011
101707,36,No,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3692,1,Y,Y,12,3,3,0,12,2,2,11,10,0,7,2006,2,3,4,1,2,
101708,34,No,Travel_Frequently,Research & Development,19,Medical,3,Female,3,2,Laboratory Technician,2,Divorced,4444,4,Y,No,13,3,3,2,15,2,4,11,8,5,10,2006,2,5,4,1,2,
101709,36,No,Travel_Rarely,Research & Development,2,Medical,3,Male,3,1,Laboratory Technician,3,Single,2519,4,Y,No,21,4,3,0,16,6,3,11,8,3,9,2006,3,4,5,0,5,
101710,40,Yes,Travel_Rarely,Research & Development,20,Technical Degree,1,Female,3,3,Healthcare Representative,4,Married,10322,4,Y,No,20,4,2,1,14,6,3,11,10,11,1,2003,4,3,2,1,4,2014
101711,38,No,Non-Travel,Human Resources,2,Human Resources,1,Male,3,1,Human Resources,2,Single,2592,5,Y,N,13,3,4,3,13,3,3,11,10,3,8,2006,5,2,3,0,3,
101712,33,No,Non-Travel,Sales,2,Marketing,4,Male,3,2,Sales Executive,2,Single,5147,8,Y,No,15,3,4,0,13,2,2,11,7,1,7,2006,4,2,3,0,4,
101713,29,Yes,Travel_Frequently,Research & Development,20,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,3812,1,Y,No,13,3,2,0,11,3,4,11,8,3,10,2000,3,4,2,1,3,2011
101714,40,No,Travel_Rarely,Sales,2,Marketing,2,Female,3,2,Sales Executive,2,Married,5677,3,Y,Y,14,3,3,1,15,4,3,11,8,5,10,2006,2,3,4,1,2,
101715,31,No,Non-Travel,Research & Development,10,Medical,3,Female,3,3,Research Director,3,Married,11031,4,Y,No,20,4,3,1,13,2,4,11,7,4,8,2006,2,5,4,1,2,
101716,33,No,Non-Travel,Sales,2,Marketing,4,Male,3,2,Sales Executive,2,Single,5147,8,Y,No,15,3,4,0,13,2,2,11,7,1,7,2006,3,4,5,0,5,
101717,35,Yes,Travel_Frequently,Sales,12,Other,4,Female,3,2,Sales Executive,4,Single,4581,3,Y,Yes,24,4,2,0,13,2,4,11,9,6,7,2003,4,3,2,1,4,2014
101718,34,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Female,3,2,Research Scientist,2,Single,5433,1,Y,N,12,3,3,1,11,2,3,11,8,7,9,2006,5,2,3,0,3,
101719,40,No,Travel_Rarely,Sales,2,Marketing,2,Male,3,2,Sales Executive,2,Married,5677,3,Y,No,14,3,4,1,15,4,3,11,8,5,10,2006,4,2,3,0,4,
101720,31,Yes,Non-Travel,Research & Development,10,Medical,2,Female,3,3,Research Director,3,Divorced,11031,4,Y,No,20,4,3,1,13,2,4,11,7,4,8,2000,3,4,2,1,3,2011
101721,38,No,Non-Travel,Human Resources,2,Human Resources,1,Male,3,1,Human Resources,2,Divorced,2592,5,Y,Y,13,3,3,3,13,3,3,11,10,3,8,2006,2,3,4,1,2,
101722,29,No,Travel_Frequently,Research & Development,20,Medical,4,Male,3,1,Laboratory Technician,4,Married,3812,1,Y,No,13,3,2,0,11,3,4,11,8,3,10,2006,2,5,4,1,2,
101723,36,No,Travel_Frequently,Human Resources,2,Human Resources,2,Male,2,2,Human Resources,4,Single,3886,1,Y,No,21,4,4,0,10,2,2,10,1,0,8,2007,3,4,5,0,5,
101724,36,Yes,Travel_Rarely,Sales,10,Technical Degree,2,Female,2,2,Sales Executive,3,Married,5673,1,Y,Yes,13,3,2,1,10,4,3,10,9,1,7,2004,4,3,2,1,4,2014
101725,31,No,Travel_Rarely,Research & Development,20,Life Sciences,2,Male,3,2,Laboratory Technician,3,Single,4197,1,Y,N,11,3,1,1,10,2,3,10,8,0,2,2007,5,2,3,0,3,
101726,37,No,Travel_Rarely,Research & Development,10,Medical,4,Male,3,2,Manufacturing Director,1,Single,4213,1,Y,No,15,3,4,0,10,4,1,10,3,0,8,2007,4,2,3,0,4,
101727,37,Yes,Travel_Rarely,Human Resources,8,Other,2,Male,3,2,Human Resources,2,Divorced,4071,2,Y,No,13,3,3,0,19,4,2,10,0,4,7,2001,3,4,2,1,3,2011
101728,35,Yes,Travel_Rarely,Sales,27,Life Sciences,3,Male,3,2,Sales Executive,4,Single,5813,1,Y,Y,18,3,3,0,10,2,3,10,7,7,7,2000,2,3,4,1,2,2010
101729,33,No,Travel_Rarely,Research & Development,8,Life Sciences,4,Male,4,1,Research Scientist,1,Married,3143,6,Y,No,19,3,2,1,14,1,3,10,8,7,6,2007,2,5,4,1,2,
